"icon-asset","icon-name"
"preliminary","Preliminary"
"steppers","Steppers"
"move_item","Move Item"
"star_rate_half","Star Rate Half"
"arrow_left_alt","Arrow Left Alt"
"unknown_med","Unknown Med"
"clock_loader_10","Clock Loader 10"
"captive_portal","Captive Portal"
"stack_star","Stack Star"
"stat_3","Stat 3"
"right_panel_close","Right Panel Close"
"rule_settings","Rule Settings"
"toolbar","Toolbar"
"drag_pan","Drag Pan"
"new_window","New Window"
"expand_circle_right","Expand Circle Right"
"step","Step"
"right_panel_open","Right Panel Open"
"share_windows","Share Windows"
"patient_list","Patient List"
"sweep","Sweep"
"clock_loader_40","Clock Loader 40"
"expand_circle_up","Expand Circle Up"
"responsive_layout","Responsive Layout"
"heart_check","Heart Check"
"stacks","Stacks"
"clock_loader_80","Clock Loader 80"
"input_circle","Input Circle"
"stat_minus_1","Stat Minus 1"
"left_panel_close","Left Panel Close"
"page_control","Page Control"
"all_match","All Match"
"dialogs","Dialogs"
"stat_minus_2","Stat Minus 2"
"clock_loader_90","Clock Loader 90"
"pip","Pip"
"deployed_code_update","Deployed Code Update"
"linked_services","Linked Services"
"move_group","Move Group"
"stat_2","Stat 2"
"buttons_alt","Buttons Alt"
"capture","Capture"
"event_list","Event List"
"step_over","Step Over"
"left_panel_open","Left Panel Open"
"resize","Resize"
"step_into","Step Into"
"bottom_panel_open","Bottom Panel Open"
"partner_reports","Partner Reports"
"radio_button_partial","Radio Button Partial"
"action_key","Action Key"
"dropdown","Dropdown"
"magnification_large","Magnification Large"
"magnification_small","Magnification Small"
"stack_off","Stack Off"
"stat_1","Stat 1"
"stat_minus_3","Stat Minus 3"
"clock_loader_20","Clock Loader 20"
"drag_click","Drag Click"
"sliders","Sliders"
"bottom_navigation","Bottom Navigation"
"arrow_and_edge","Arrow And Edge"
"chronic","Chronic"
"tabs","Tabs"
"arrow_range","Arrow Range"
"chip_extraction","Chip Extraction"
"go_to_line","Go To Line"
"right_click","Right Click"
"bottom_drawer","Bottom Drawer"
"shelf_position","Shelf Position"
"collapse_content","Collapse Content"
"bottom_sheets","Bottom Sheets"
"iframe","Iframe"
"open_in_new_down","Open In New Down"
"unknown_5","Unknown 5"
"prompt_suggestion","Prompt Suggestion"
"ripples","Ripples"
"subheader","Subheader"
"toast","Toast"
"arrow_or_edge","Arrow Or Edge"
"bottom_right_click","Bottom Right Click"
"chips","Chips"
"deployed_code_history","Deployed Code History"
"move_selection_left","Move Selection Left"
"app_badging","App Badging"
"bottom_panel_close","Bottom Panel Close"
"deployed_code_alert","Deployed Code Alert"
"key_vertical","Key Vertical"
"output_circle","Output Circle"
"pip_exit","Pip Exit"
"reopen_window","Reopen Window"
"error_med","Error Med"
"jump_to_element","Jump To Element"
"step_out","Step Out"
"switch_access","Switch Access"
"arrow_top_left","Arrow Top Left"
"arrows_outward","Arrows Outward"
"back_to_tab","Back To Tab"
"bubbles","Bubbles"
"amend","Amend"
"download_2","Download 2"
"highlight_mouse_cursor","Highlight Mouse Cursor"
"iframe_off","Iframe Off"
"move_selection_right","Move Selection Right"
"move_selection_up","Move Selection Up"
"position_bottom_right","Position Bottom Right"
"switch_access_2","Switch Access 2"
"arrow_top_right","Arrow Top Right"
"position_top_right","Position Top Right"
"settings_heart","Settings Heart"
"shelf_auto_hide","Shelf Auto Hide"
"bottom_app_bar","Bottom App Bar"
"close_small","Close Small"
"position_bottom_left","Position Bottom Left"
"move_selection_down","Move Selection Down"
"upload_2","Upload 2"
"deployed_code_account","Deployed Code Account"
"highlight_text_cursor","Highlight Text Cursor"
"highlight_keyboard_focus","Highlight Keyboard Focus"
"person","Person"
"group","Group"
"share","Share"
"thumb_up","Thumb Up"
"groups","Groups"
"public","Public"
"person_add","Person Add"
"handshake","Handshake"
"support_agent","Support Agent"
"face","Face"
"sentiment_satisfied","Sentiment Satisfied"
"rocket_launch","Rocket Launch"
"group_add","Group Add"
"workspace_premium","Workspace Premium"
"psychology","Psychology"
"diversity_3","Diversity 3"
"emoji_objects","Emoji Objects"
"water_drop","Water Drop"
"eco","Eco"
"pets","Pets"
"travel_explore","Travel Explore"
"mood","Mood"
"sunny","Sunny"
"quiz","Quiz"
"health_and_safety","Health And Safety"
"sentiment_dissatisfied","Sentiment Dissatisfied"
"sentiment_very_satisfied","Sentiment Very Satisfied"
"military_tech","Military Tech"
"thumb_down","Thumb Down"
"gavel","Gavel"
"recycling","Recycling"
"diamond","Diamond"
"monitor_heart","Monitor Heart"
"emoji_people","Emoji People"
"diversity_1","Diversity 1"
"workspaces","Workspaces"
"vaccines","Vaccines"
"compost","Compost"
"forest","Forest"
"recommend","Recommend"
"waving_hand","Waving Hand"
"person_remove","Person Remove"
"wc","Wc"
"sentiment_neutral","Sentiment Neutral"
"medication","Medication"
"sentiment_very_dissatisfied","Sentiment Very Dissatisfied"
"group_work","Group Work"
"diversity_2","Diversity 2"
"front_hand","Front Hand"
"psychology_alt","Psychology Alt"
"cruelty_free","Cruelty Free"
"man","Man"
"medical_information","Medical Information"
"add_reaction","Add Reaction"
"coronavirus","Coronavirus"
"rocket","Rocket"
"female","Female"
"potted_plant","Potted Plant"
"emoji_nature","Emoji Nature"
"rainy","Rainy"
"person_off","Person Off"
"cookie","Cookie"
"connect_without_contact","Connect Without Contact"
"woman","Woman"
"mood_bad","Mood Bad"
"male","Male"
"bedtime","Bedtime"
"communication","Communication"
"groups_2","Groups 2"
"solar_power","Solar Power"
"thunderstorm","Thunderstorm"
"thumbs_up_down","Thumbs Up Down"
"partly_cloudy_day","Partly Cloudy Day"
"emoji_flags","Emoji Flags"
"masks","Masks"
"hive","Hive"
"sentiment_extremely_dissatisfied","Sentiment Extremely Dissatisfied"
"heart_broken","Heart Broken"
"clear_day","Clear Day"
"boy","Boy"
"whatshot","Whatshot"
"cloudy_snowing","Cloudy Snowing"
"emoji_food_beverage","Emoji Food Beverage"
"wind_power","Wind Power"
"emoji_transportation","Emoji Transportation"
"elderly","Elderly"
"face_6","Face 6"
"reduce_capacity","Reduce Capacity"
"sick","Sick"
"face_3","Face 3"
"pregnant_woman","Pregnant Woman"
"groups_3","Groups 3"
"skull","Skull"
"bloodtype","Bloodtype"
"egg","Egg"
"group_remove","Group Remove"
"medication_liquid","Medication Liquid"
"clear_night","Clear Night"
"co2","Co2"
"emoji_events","Emoji Events"
"weight","Weight"
"follow_the_signs","Follow The Signs"
"face_4","Face 4"
"oil_barrel","Oil Barrel"
"elderly_woman","Elderly Woman"
"transgender","Transgender"
"sanitizer","Sanitizer"
"clean_hands","Clean Hands"
"person_2","Person 2"
"bring_your_own_ip","Bring Your Own Ip"
"public_off","Public Off"
"face_2","Face 2"
"social_distance","Social Distance"
"routine","Routine"
"sign_language","Sign Language"
"south_america","South America"
"sunny_snowing","Sunny Snowing"
"emoji_symbols","Emoji Symbols"
"garden_cart","Garden Cart"
"flood","Flood"
"face_5","Face 5"
"egg_alt","Egg Alt"
"cyclone","Cyclone"
"girl","Girl"
"person_4","Person 4"
"dentistry","Dentistry"
"tsunami","Tsunami"
"group_off","Group Off"
"outdoor_garden","Outdoor Garden"
"partly_cloudy_night","Partly Cloudy Night"
"severe_cold","Severe Cold"
"snowing","Snowing"
"person_3","Person 3"
"tornado","Tornado"
"safety_divider","Safety Divider"
"vaping_rooms","Vaping Rooms"
"landslide","Landslide"
